IBI	days_since_instruction	weekly_in_lab_sessions_completed	session_start_time
956	0	2	12:40:59
959	0	2	12:40:59
911	0	2	12:40:59
886	0	2	12:40:59
897	0	2	12:40:59
937	0	2	12:40:59
886	0	2	12:40:59
937	0	2	12:40:59
932	0	2	12:40:59
889	0	2	12:40:59
892	0	2	12:40:59
919	0	2	12:40:59
902	0	2	12:40:59
913	0	2	12:40:59
927	0	2	12:40:59
908	0	2	12:40:59
824	0	2	12:40:59
830	0	2	12:40:59
843	0	2	12:40:59
819	0	2	12:40:59
800	0	2	12:40:59
765	0	2	12:40:59
784	0	2	12:40:59
824	0	2	12:40:59
830	0	2	12:40:59
881	0	2	12:40:59
830	0	2	12:40:59
846	0	2	12:40:59
873	0	2	12:40:59
919	0	2	12:40:59
919	0	2	12:40:59
867	0	2	12:40:59
843	0	2	12:40:59
876	0	2	12:40:59
876	0	2	12:40:59
889	0	2	12:40:59
849	0	2	12:40:59
835	0	2	12:40:59
921	0	2	12:40:59
937	0	2	12:40:59
911	0	2	12:40:59
881	0	2	12:40:59
857	0	2	12:40:59
867	0	2	12:40:59
843	0	2	12:40:59
876	0	2	12:40:59
827	0	2	12:40:59
865	0	2	12:40:59
865	0	2	12:40:59
867	0	2	12:40:59
870	0	2	12:40:59
819	0	2	12:40:59
800	0	2	12:40:59
824	0	2	12:40:59
776	0	2	12:40:59
749	0	2	12:40:59
722	0	2	12:40:59
754	0	2	12:40:59
741	0	2	12:40:59
762	0	2	12:40:59
749	0	2	12:40:59
789	0	2	12:40:59
814	0	2	12:40:59
843	0	2	12:40:59
859	0	2	12:40:59
827	0	2	12:40:59
792	0	2	12:40:59
800	0	2	12:40:59
714	0	2	12:40:59
711	0	2	12:40:59
692	0	2	12:40:59
703	0	2	12:40:59
695	0	2	12:40:59
714	0	2	12:40:59
757	0	2	12:40:59
768	0	2	12:40:59
760	0	2	12:40:59
784	0	2	12:40:59
773	0	2	12:40:59
792	0	2	12:40:59
727	0	2	12:40:59
735	0	2	12:40:59
708	0	2	12:40:59
757	0	2	12:40:59
770	0	2	12:40:59
779	0	2	12:40:59
830	0	2	12:40:59
816	0	2	12:40:59
838	0	2	12:40:59
789	0	2	12:40:59
819	0	2	12:40:59
781	0	2	12:40:59
776	0	2	12:40:59
843	0	2	12:40:59
859	0	2	12:40:59
865	0	2	12:40:59
862	0	2	12:40:59
881	0	2	12:40:59
902	0	2	12:40:59
800	0	2	12:40:59
876	0	2	12:40:59
854	0	2	12:40:59
884	0	2	12:40:59
832	0	2	12:40:59
857	0	2	12:40:59
878	0	2	12:40:59
849	0	2	12:40:59
894	0	2	12:40:59
921	0	2	12:40:59
876	0	2	12:40:59
900	0	2	12:40:59
900	0	2	12:40:59
894	0	2	12:40:59
873	0	2	12:40:59
862	0	2	12:40:59
830	0	2	12:40:59
873	0	2	12:40:59
870	0	2	12:40:59
867	0	2	12:40:59
897	0	2	12:40:59
913	0	2	12:40:59
900	0	2	12:40:59
884	0	2	12:40:59
900	0	2	12:40:59
897	0	2	12:40:59
892	0	2	12:40:59
902	0	2	12:40:59
908	0	2	12:40:59
940	0	2	12:40:59
892	0	2	12:40:59
937	0	2	12:40:59
935	0	2	12:40:59
827	0	2	12:40:59
787	0	2	12:40:59
819	0	2	12:40:59
714	0	2	12:40:59
760	0	2	12:40:59
717	0	2	12:40:59
981	0	2	12:40:59
932	0	2	12:40:59
746	0	2	12:40:59
7512	0	2	12:40:59
5815	0	2	12:40:59
1231	0	2	12:40:59
1999	0	2	12:40:59
407	0	2	12:40:59
846	0	2	12:40:59
372	0	2	12:40:59
555	0	2	12:40:59
531	0	2	12:40:59
1102	0	2	12:40:59
469	0	2	23:48:00
749	0	2	23:48:00
614	0	2	23:48:00
299	0	2	23:48:00
544	0	2	23:48:00
695	0	2	23:48:00
1199	0	2	23:48:00
738	0	2	23:48:00
803	0	2	23:48:00
762	0	2	23:48:00
781	0	2	23:48:00
738	0	2	23:48:00
741	0	2	23:48:00
673	0	2	23:48:00
663	0	2	23:48:00
541	0	2	23:48:00
1132	0	2	23:48:00
690	0	2	23:48:00
660	0	2	23:48:00
625	0	2	23:48:00
784	0	2	23:48:00
789	0	2	23:48:00
770	0	2	23:48:00
741	0	2	23:48:00
711	0	2	23:48:00
706	0	2	23:48:00
760	0	2	23:48:00
738	0	2	23:48:00
698	0	2	23:48:00
676	0	2	23:48:00
754	0	2	23:48:00
757	0	2	23:48:00
719	0	2	23:48:00
727	0	2	23:48:00
765	0	2	23:48:00
722	0	2	23:48:00
735	0	2	23:48:00
738	0	2	23:48:00
738	0	2	23:48:00
717	0	2	23:48:00
725	0	2	23:48:00
735	0	2	23:48:00
781	0	2	23:48:00
646	0	2	23:48:00
711	0	2	23:48:00
703	0	2	23:48:00
690	0	2	23:48:00
735	0	2	23:48:00
684	0	2	23:48:00
703	0	2	23:48:00
711	0	2	23:48:00
746	0	2	23:48:00
725	0	2	23:48:00
708	0	2	23:48:00
717	0	2	23:48:00
684	0	2	23:48:00
695	0	2	23:48:00
687	0	2	23:48:00
741	0	2	23:48:00
695	0	2	23:48:00
714	0	2	23:48:00
752	0	2	23:48:00
695	0	2	23:48:00
711	0	2	23:48:00
733	0	2	23:48:00
754	0	2	23:48:00
727	0	2	23:48:00
708	0	2	23:48:00
717	0	2	23:48:00
695	0	2	23:48:00
687	0	2	23:48:00
703	0	2	23:48:00
733	0	2	23:48:00
725	0	2	23:48:00
727	0	2	23:48:00
733	0	2	23:48:00
708	0	2	23:48:00
711	0	2	23:48:00
708	0	2	23:48:00
719	0	2	23:48:00
703	0	2	23:48:00
690	0	2	23:48:00
714	0	2	23:48:00
700	0	2	23:48:00
687	0	2	23:48:00
722	0	2	23:48:00
746	0	2	23:48:00
722	0	2	23:48:00
717	0	2	23:48:00
690	0	2	23:48:00
708	0	2	23:48:00
700	0	2	23:48:00
719	0	2	23:48:00
746	0	2	23:48:00
727	0	2	23:48:00
757	0	2	23:48:00
787	0	2	23:48:00
609	0	2	23:48:00
698	0	2	23:48:00
706	0	2	23:48:00
708	0	2	23:48:00
706	0	2	23:48:00
711	0	2	23:48:00
717	0	2	23:48:00
700	0	2	23:48:00
700	0	2	23:48:00
719	0	2	23:48:00
743	0	2	23:48:00
757	0	2	23:48:00
762	0	2	23:48:00
752	0	2	23:48:00
760	0	2	23:48:00
725	0	2	23:48:00
725	0	2	23:48:00
665	0	2	23:48:00
703	0	2	23:48:00
695	0	2	23:48:00
733	0	2	23:48:00
743	0	2	23:48:00
741	0	2	23:48:00
733	0	2	23:48:00
733	0	2	23:48:00
695	0	2	23:48:00
687	0	2	23:48:00
703	0	2	23:48:00
743	0	2	23:48:00
719	0	2	23:48:00
722	0	2	23:48:00
733	0	2	23:48:00
708	0	2	23:48:00
692	0	2	23:48:00
700	0	2	23:48:00
741	0	2	23:48:00
743	0	2	23:48:00
741	0	2	23:48:00
741	0	2	23:48:00
727	0	2	23:48:00
703	0	2	23:48:00
703	0	2	23:48:00
735	0	2	23:48:00
722	0	2	23:48:00
717	0	2	23:48:00
722	0	2	23:48:00
741	0	2	23:48:00
719	0	2	23:48:00
727	0	2	23:48:00
768	0	2	23:48:00
727	0	2	23:48:00
706	0	2	23:48:00
708	0	2	23:48:00
743	0	2	23:48:00
722	0	2	23:48:00
719	0	2	23:48:00
708	0	2	23:48:00
703	0	2	23:48:00
706	0	2	23:48:00
714	0	2	23:48:00
752	0	2	23:48:00
749	0	2	23:48:00
746	0	2	23:48:00
725	0	2	23:48:00
741	0	2	23:48:00
722	0	2	23:48:00
725	0	2	23:48:00
749	0	2	23:48:00
743	0	2	23:48:00
725	0	2	23:48:00
717	0	2	23:48:00
752	0	2	23:48:00
754	0	2	23:48:00
741	0	2	23:48:00
725	0	2	23:48:00
746	0	2	23:48:00
738	0	2	23:48:00
735	0	2	23:48:00
730	0	2	23:48:00
749	0	2	23:48:00
706	0	2	23:48:00
698	0	2	23:48:00
714	0	2	23:48:00
711	0	2	23:48:00
706	0	2	23:48:00
687	0	2	23:48:00
730	0	2	23:48:00
719	0	2	23:48:00
714	0	2	23:48:00
738	0	2	23:48:00
700	0	2	23:48:00
692	0	2	23:48:00
717	0	2	23:48:00
719	0	2	23:48:00
700	0	2	23:48:00
679	0	2	23:48:00
700	0	2	23:48:00
679	0	2	23:48:00
687	0	2	23:48:00
717	0	2	23:48:00
700	0	2	23:48:00
679	0	2	23:48:00
708	0	2	23:48:00
684	0	2	23:48:00
684	0	2	23:48:00
698	0	2	23:48:00
717	0	2	23:48:00
687	0	2	23:48:00
679	0	2	23:48:00
698	0	2	23:48:00
681	0	2	23:48:00
673	0	2	23:48:00
717	0	2	23:48:00
703	0	2	23:48:00
695	0	2	23:48:00
692	0	2	23:48:00
714	0	2	23:48:00
703	0	2	23:48:00
714	0	2	23:48:00
738	0	2	23:48:00
706	0	2	23:48:00
703	0	2	23:48:00
727	0	2	23:48:00
733	0	2	23:48:00
727	0	2	23:48:00
727	0	2	23:48:00
730	0	2	23:48:00
733	0	2	23:48:00
711	0	2	23:48:00
700	0	2	23:48:00
743	0	2	23:48:00
681	0	2	23:48:00
719	0	2	23:48:00
738	0	2	23:48:00
749	0	2	23:48:00
781	0	2	23:48:00
770	0	2	23:48:00
811	0	2	23:48:00
819	0	2	23:48:00
797	0	2	23:48:00
741	0	2	23:48:00
719	0	2	23:48:00
749	0	2	23:48:00
735	0	2	23:48:00
754	0	2	23:48:00
749	0	2	23:48:00
749	0	2	23:48:00
719	0	2	23:48:00
706	0	2	23:48:00
733	0	2	23:48:00
730	0	2	23:48:00
711	0	2	23:48:00
695	0	2	23:48:00
706	0	2	23:48:00
668	0	2	23:48:00
671	0	2	23:48:00
698	0	2	23:48:00
700	0	2	23:48:00
708	0	2	23:48:00
765	0	2	23:48:00
741	0	2	23:48:00
722	0	2	23:48:00
714	0	2	23:48:00
717	0	2	23:48:00
700	0	2	23:48:00
695	0	2	23:48:00
717	0	2	23:48:00
717	0	2	23:48:00
703	0	2	23:48:00
714	0	2	23:48:00
746	0	2	23:48:00
722	0	2	23:48:00
692	0	2	23:48:00
703	0	2	23:48:00
692	0	2	23:48:00
711	0	2	23:48:00
711	0	2	23:48:00
738	0	2	23:48:00
708	0	2	23:48:00
695	0	2	23:48:00
714	0	2	23:48:00
722	0	2	23:48:00
700	0	2	23:48:00
703	0	2	23:48:00
706	0	2	23:48:00
673	0	2	23:48:00
679	0	2	23:48:00
719	0	2	23:48:00
727	0	2	23:48:00
692	0	2	23:48:00
722	0	2	23:48:00
733	0	2	23:48:00
727	0	2	23:48:00
722	0	2	23:48:00
725	0	2	23:48:00
727	0	2	23:48:00
730	0	2	23:48:00
730	0	2	23:48:00
730	0	2	23:48:00
714	0	2	23:48:00
717	0	2	23:48:00
754	0	2	23:48:00
743	0	2	23:48:00
717	0	2	23:48:00
692	0	2	23:48:00
762	0	2	23:48:00
743	0	2	23:48:00
749	0	2	23:48:00
725	0	2	23:48:00
